series_type,date,ron95,ron97,diesel,diesel_eastmsia
level,2017-03-30,2.13,2.41,2.11,2.11
level,2017-04-06,2.16,2.43,2.08,2.08
level,2017-04-13,2.24,2.52,2.16,2.16
level,2017-04-20,2.27,2.54,2.21,2.21
level,2017-04-27,2.21,2.49,2.14,2.14
level,2017-05-04,2.11,2.39,2.08,2.08
level,2017-05-11,2.01,2.29,1.95,1.95
level,2017-05-18,2.08,2.36,1.99,1.99
level,2017-05-25,2.12,2.4,2.03,2.03
level,2017-06-01,2.1,2.38,2.02,2.02
level,2017-06-08,2.05,2.31,1.94,1.94
level,2017-06-15,1.98,2.24,1.88,1.88
level,2017-06-22,1.91,2.17,1.88,1.88
level,2017-06-29,1.89,2.15,1.84,1.84
level,2017-07-06,1.93,2.19,1.91,1.91
level,2017-07-13,1.97,2.22,1.96,1.96
level,2017-07-20,1.97,2.22,1.96,1.96
level,2017-07-27,2.03,2.28,1.99,1.99
level,2017-08-03,2.07,2.32,2.05,2.05
level,2017-08-10,2.12,2.39,2.06,2.06
level,2017-08-17,2.15,2.43,2.04,2.04
level,2017-08-24,2.15,2.43,2.01,2.01
level,2017-08-31,2.16,2.44,2.04,2.04
level,2017-09-07,2.2,2.48,2.05,2.05
level,2017-09-14,2.21,2.52,2.14,2.14
level,2017-09-21,2.19,2.49,2.1,2.1
level,2017-09-28,2.16,2.46,2.12,2.12
level,2017-10-05,2.19,2.49,2.17,2.17
level,2017-10-12,2.16,2.46,2.1,2.1
level,2017-10-19,2.17,2.47,2.11,2.11
level,2017-10-26,2.2,2.5,2.13,2.13
level,2017-11-02,2.24,2.54,2.17,2.17
level,2017-11-09,2.31,2.6,2.2,2.2
level,2017-11-16,2.38,2.66,2.25,2.25
level,2017-11-23,2.3,2.58,2.23,2.23
level,2017-11-30,2.3,2.58,2.25,2.25
level,2017-12-07,2.29,2.57,2.21,2.21
level,2017-12-14,2.25,2.52,2.2,2.2
level,2017-12-21,2.27,2.54,2.23,2.23
level,2017-12-28,2.26,2.53,2.26,2.26
level,2018-01-04,2.29,2.56,2.32,2.32
level,2018-01-11,2.26,2.53,2.32,2.32
level,2018-01-18,2.3,2.57,2.32,2.32
level,2018-01-25,2.29,2.56,2.31,2.31
level,2018-02-01,2.31,2.58,2.34,2.34
level,2018-02-08,2.33,2.61,2.31,2.31
level,2018-02-15,2.23,2.5,2.19,2.19
level,2018-02-22,2.17,2.43,2.13,2.13
level,2018-03-01,2.2,2.47,2.18,2.18
level,2018-03-08,2.21,2.47,2.17,2.17
level,2018-03-15,2.18,2.45,2.16,2.16
level,2018-03-22,2.2,2.47,2.18,2.18
level,2018-03-29,2.2,2.47,2.18,2.18
level,2018-04-05,2.2,2.47,2.18,2.18
level,2018-04-12,2.2,2.47,2.18,2.18
level,2018-04-19,2.2,2.47,2.18,2.18
level,2018-04-26,2.2,2.47,2.18,2.18
level,2018-05-03,2.2,2.47,2.18,2.18
level,2018-05-10,2.2,2.47,2.18,2.18
level,2018-06-07,2.2,2.66,2.18,2.18
level,2018-06-14,2.2,2.6,2.18,2.18
level,2018-06-21,2.2,2.59,2.18,2.18
level,2018-06-28,2.2,2.5,2.18,2.18
level,2018-07-05,2.2,2.58,2.18,2.18
level,2018-07-12,2.2,2.59,2.18,2.18
level,2018-07-19,2.2,2.56,2.18,2.18
level,2018-07-26,2.2,2.54,2.18,2.18
level,2018-08-02,2.2,2.64,2.18,2.18
level,2018-08-09,2.2,2.61,2.18,2.18
level,2018-08-16,2.2,2.65,2.18,2.18
level,2018-08-23,2.2,2.65,2.18,2.18
level,2018-08-30,2.2,2.69,2.18,2.18
level,2018-10-01,2.2,2.79,2.18,2.18
level,2018-11-01,2.2,2.81,2.18,2.18
level,2018-12-01,2.2,2.5,2.18,2.18
level,2019-01-01,2.2,2.5,2.18,2.18
level,2019-01-05,1.93,2.23,2.04,2.04
level,2019-01-12,1.92,2.22,2.05,2.05
level,2019-01-19,1.98,2.28,2.17,2.17
level,2019-01-26,1.98,2.28,2.18,2.18
level,2019-02-02,1.93,2.23,2.18,2.18
level,2019-02-09,1.97,2.27,2.18,2.18
level,2019-02-16,1.98,2.28,2.18,2.18
level,2019-02-23,2.08,2.38,2.18,2.18
level,2019-03-02,2.08,2.43,2.18,2.18
level,2019-03-09,2.08,2.46,2.18,2.18
level,2019-03-16,2.08,2.54,2.18,2.18
level,2019-03-23,2.08,2.61,2.18,2.18
level,2019-03-30,2.08,2.63,2.18,2.18
level,2019-04-06,2.08,2.63,2.18,2.18
level,2019-04-13,2.08,2.68,2.18,2.18
level,2019-04-20,2.08,2.8,2.18,2.18
level,2019-04-27,2.08,2.81,2.18,2.18
level,2019-05-04,2.08,2.8,2.18,2.18
level,2019-05-11,2.08,2.7,2.18,2.18
level,2019-05-18,2.08,2.68,2.18,2.18
level,2019-05-25,2.08,2.76,2.18,2.18
level,2019-06-01,2.08,2.63,2.18,2.18
level,2019-06-15,2.08,2.41,2.18,2.18
level,2019-06-22,2.08,2.38,2.18,2.18
level,2019-06-29,2.08,2.49,2.18,2.18
level,2019-07-06,2.08,2.53,2.18,2.18
level,2019-07-13,2.08,2.57,2.18,2.18
level,2019-07-20,2.08,2.67,2.18,2.18
level,2019-07-27,2.08,2.56,2.18,2.18
level,2019-08-03,2.08,2.54,2.18,2.18
level,2019-08-10,2.08,2.49,2.18,2.18
