income,recreation,job,status,age-group,home-owner,credit_worthiness
medium,skiing,design,single,twenties,no,highRisk
high,golf,trading,married,forties,yes,lowRisk
low,speedway,transport,married,thirties,yes,medRisk
medium,football,banking,single,thirties,yes,lowRisk
high,flying,media,married,fifties,yes,highRisk
low,football,security,single,twenties,no,medRisk
medium,golf,media,single,thirties,yes,medRisk
medium,golf,transport,married,forties,yes,lowRisk
high,skiing,banking,single,thirties,yes,highRisk
low,golf,unemployed,married,forties,yes,highRisk
